"item.no","level","log.freq.ratio","discrimination","difficulty","guessing","inattention","tone.1","tone.2","tone.3","answer"
1,330.226,0.000684614,1.440205336,0.590698548,0.33,0.99,330,330.226,330,2
2,330.763,0.002309452,1.440205336,0.527445739,0.33,0.99,330,330,330.763,3
3,330.784,0.00237294,1.440205336,0.524974253,0.33,0.99,330.784,330,330,1
4,331.321,0.003995039,1.440205336,0.461828058,0.33,0.99,330,330,331.321,3
5,331.343,0.004061438,1.440205336,0.459243246,0.33,0.99,330,330,331.343,3
6,331.879,0.00567779,1.440205336,0.396320795,0.33,0.99,330,330,331.879,3
7,331.904,0.005753116,1.440205336,0.39338846,0.33,0.99,330,331.904,330,2
8,332.438,0.007360722,1.440205336,0.330806479,0.33,0.99,330,330,332.438,3
9,332.465,0.007441937,1.440205336,0.327644892,0.33,0.99,332.465,330,330,1
10,332.998,0.009043829,1.440205336,0.265285329,0.33,0.99,330,332.998,330,2
11,333.027,0.009130913,1.440205336,0.261895271,0.33,0.99,333.027,330,330,1
12,333.559,0.010727107,1.440205336,0.199757567,0.33,0.99,330,330,333.559,3
13,333.59,0.01082004,1.440205336,0.196139817,0.33,0.99,330,333.59,330,2
14,334.121,0.012410548,1.440205336,0.134223409,0.33,0.99,330,330,334.121,3
15,334.154,0.01250931,1.440205336,0.130378745,0.33,0.99,330,330,334.154,3
16,334.684,0.014094149,1.440205336,0.068683074,0.33,0.99,334.684,330,330,1
17,335.248,0.015777902,1.440205336,0.003136779,0.33,0.99,330,335.248,330,2
18,335.813,0.017461803,1.440205336,-0.062415263,0.33,0.99,330,335.813,330,2
19,336.379,0.019145846,1.440205336,-0.127972835,0.33,0.99,330,330,336.379,3
20,336.946,0.020830026,1.440205336,-0.193535726,0.33,0.99,330,330,336.946,3
21,337.514,0.022514336,1.440205336,-0.259103721,0.33,0.99,330,330,337.514,3
22,337.557,0.02264173,1.440205336,-0.264063002,0.33,0.99,330,330,337.557,3
23,338.082,0.024195815,1.440205336,-0.324561466,0.33,0.99,330,330,338.082,3
24,338.652,0.025880377,1.440205336,-0.390139234,0.33,0.99,338.652,330,330,1
25,339.223,0.027565054,1.440205336,-0.455721477,0.33,0.99,330,339.223,330,2
26,339.794,0.029246897,1.440205336,-0.52119342,0.33,0.99,339.794,330,330,1
27,340.367,0.030931793,1.440205336,-0.586784181,0.33,0.99,340.367,330,330,1
